Topic,Count,Name,Representation,Representative_Docs
0,10066,0_spicy_sauce_chili_stir,"['spicy', 'sauce', 'chili', 'stir', 'sauce spicy']","[""['stir', 'fry']"", ""['stir', 'fry']"", ""['stir', 'fry']""]"
1,7025,1_sausage_stew_pot_crock,"['sausage', 'stew', 'pot', 'crock', 'crock pot']","[""['crock', 'pot', 'beef', 'stew']"", ""['beef', 'stew', 'crock', 'pot']"", ""['crock', 'pot']""]"
2,5847,2_mushrooms_mushroom_broccoli_cauliflower,"['mushrooms', 'mushroom', 'broccoli', 'cauliflower', 'basil']","[""['mushroom']"", ""['mushrooms']"", ""['mushrooms']""]"
3,3805,3_punch_dip_la_pollo,"['punch', 'dip', 'la', 'pollo', 'pesto']","[""['island', 'fruit', 'punch']"", ""['wine', 'punch']"", ""['tea', 'punch']""]"
4,3422,4_pork_pork chops_chops_pork tenderloin,"['pork', 'pork chops', 'chops', 'pork tenderloin', 'chops pork']","[""['pork', 'chops']"", ""['pork', 'chops']"", ""['pork', 'chops']""]"
5,3404,5_peanut butter_peanut_butter_cream,"['peanut butter', 'peanut', 'butter', 'cream', 'ice cream']","[""['peanut', 'butter']"", ""['peanut', 'butter']"", ""['peanut', 'butter']""]"
6,3194,6_rice_sesame_chicken rice_rice casserole,"['rice', 'sesame', 'chicken rice', 'rice casserole', 'rice rice']","[""['chicken', 'rice']"", ""['chicken', 'rice']"", ""['chicken', 'rice']""]"
7,3096,7_cake_cheesecake_cupcakes_chocolate cake,"['cake', 'cheesecake', 'cupcakes', 'chocolate cake', 'cake chocolate']","[""['chocolate', 'cake']"", ""['chocolate', 'cake']"", ""['cake', 'n']""]"
8,2811,8_muffins_bran_waffles_bran muffins,"['muffins', 'bran', 'waffles', 'bran muffins', 'muffins banana']","[""['bran', 'muffins']"", ""['bran', 'muffins']"", ""['bran', 'muffins']""]"
9,2694,9_pudding_yogurt_smoothie_bread pudding,"['pudding', 'yogurt', 'smoothie', 'bread pudding', 'rice pudding']","[""['rice', 'pudding']"", ""['pudding']"", ""['pudding']""]"
10,2484,10_salsa_tortilla_taco_burritos,"['salsa', 'tortilla', 'taco', 'burritos', 'tacos']","[""['salsa']"", ""['salsa']"", ""['salsa']""]"
11,2437,11_squash_zucchini_butternut squash_butternut,"['squash', 'zucchini', 'butternut squash', 'butternut', 'summer squash']","[""['squash']"", ""['squash']"", ""['squash']""]"
12,2330,12_chicken_breasts_chicken chicken_chicken breasts,"['chicken', 'breasts', 'chicken chicken', 'chicken breasts', 'breasts chicken']","[""['chicken', 'breasts']"", ""['chicken', 'breasts']"", ""['chicken', 'breasts']""]"
13,2275,13_potatoes_potatoes potatoes_potatoes potato_potato,"['potatoes', 'potatoes potatoes', 'potatoes potato', 'potato', 'potato casserole']","[""['potatoes']"", ""['potatoes']"", ""['potatoes']""]"
14,2252,14_spaghetti_pasta_noodles_pasta salad,"['spaghetti', 'pasta', 'noodles', 'pasta salad', 'chicken noodles']","[""['pasta', 'salad']"", ""['pasta', 'salad']"", ""['pasta', 'salad']""]"
15,2246,15_tuna_salmon_tuna salad_tuna casserole,"['tuna', 'salmon', 'tuna salad', 'tuna casserole', 'salmon tuna']","[""['tuna']"", ""['tuna']"", ""['tuna']""]"
16,2162,16_soup_bean soup_potato soup_soup bean,"['soup', 'bean soup', 'potato soup', 'soup bean', 'soup potato']","[""['bean', 'soup']"", ""['bean', 'soup']"", ""['bean', 'soup', 'bean', 'soup']""]"
17,2025,17_salad_potato salad_salad potato_chicken salad,"['salad', 'potato salad', 'salad potato', 'chicken salad', 'fruit salad']","[""['potato', 'salad']"", ""['potato', 'salad']"", ""['potato', 'salad']""]"
18,1664,18_burgers_fries_burger_cheeseburger,"['burgers', 'fries', 'burger', 'cheeseburger', 'hamburger']","[""['burgers']"", ""['burgers']"", ""['burgers']""]"
19,1553,19_curry_thai_mandarin_chicken curry,"['curry', 'thai', 'mandarin', 'chicken curry', 'curry thai']","[""['thai', 'curry']"", ""['thai', 'chicken', 'curry']"", ""['thai', 'chicken', 'curry']""]"
20,1406,20_shrimp_crab_shrimp salad_shrimp pasta,"['shrimp', 'crab', 'shrimp salad', 'shrimp pasta', 'salad shrimp']","[""['shrimp', 'salad']"", ""['shrimp', 'salad']"", ""['n', 'shrimp']""]"
21,1336,21_garlic_herb_vinegar_parsley,"['garlic', 'herb', 'vinegar', 'parsley', 'garlic potatoes']","[""['herb']"", ""['herb']"", ""['garlic']""]"
22,1266,22_sandwich_sandwiches_salad sandwiches_sandwiches chicken,"['sandwich', 'sandwiches', 'salad sandwiches', 'sandwiches chicken', 'egg']","[""['sandwiches']"", ""['sandwiches']"", ""['c', 'p', 'b', 'b', 'sandwich']""]"
23,1264,23_pineapple_banana_coconut_avocado,"['pineapple', 'banana', 'coconut', 'avocado', 'bananas']","[""['pineapple', 'chicken']"", ""['banana', 'pineapple']"", ""['pineapple', 'banana']""]"
24,1237,24_bread_bread machine_machine_loaf,"['bread', 'bread machine', 'machine', 'loaf', 'bread bread']","[""['bread', 'bread', 'machine']"", ""['bread', 'bread', 'machine']"", ""['bread', 'bread', 'machine']""]"
25,1208,25_pizza_crust_pastry_pie crust,"['pizza', 'crust', 'pastry', 'pie crust', 'crust pizza']","[""['v', 'pizza']"", ""['pizza', 'b']"", ""['n', 'pizza']""]"
26,982,26_texas_california_orleans_south border,"['texas', 'california', 'orleans', 'south border', 'border']","[""['texas', 'chili']"", ""['texas', 'chili']"", ""['texas']""]"
27,962,27_grandma_aunt_uncle_uncle bill,"['grandma', 'aunt', 'uncle', 'uncle bill', 'bill']","[""['grandma', 'potato', 'salad']"", ""['cake', 'grandma']"", ""['grandma', 'potato', 'salad']""]"
28,889,28_pistachio_pine_hazelnut_nuts,"['pistachio', 'pine', 'hazelnut', 'nuts', 'pine nuts']","[""['spinach', 'pine', 'nuts']"", ""['pine', 'nuts']"", ""['pine', 'nuts']""]"
29,883,29_macaroni cheese_macaroni_cheese_cheese macaroni,"['macaroni cheese', 'macaroni', 'cheese', 'cheese macaroni', 'mac cheese']","[""['macaroni', 'cheese']"", ""['macaroni', 'cheese']"", ""['macaroni', 'cheese']""]"
30,877,30_beans_beans beans_beans bean_bean dip,"['beans', 'beans beans', 'beans bean', 'bean dip', 'style beans']","[""['beans']"", ""['beans']"", ""['beans', 'beans']""]"
31,871,31_meatballs_meatballs meatballs_meatball_meatballs meatball,"['meatballs', 'meatballs meatballs', 'meatball', 'meatballs meatball', 'sauce meatballs']","[""['meatballs']"", ""['meatballs']"", ""['meatballs']""]"
32,821,32_asparagus_asparagus asparagus_chicken asparagus_asparagus salad,"['asparagus', 'asparagus asparagus', 'chicken asparagus', 'asparagus salad', 'salad asparagus']","[""['asparagus', 'salad']"", ""['chicken', 'asparagus']"", ""['chicken', 'asparagus']""]"
33,794,33_cornbread_corn_cornbread corn_cornbread cornbread,"['cornbread', 'corn', 'cornbread corn', 'cornbread cornbread', 'vegetables']","[""['cornbread']"", ""['cornbread']"", ""['cornbread']""]"
34,788,34_cookies_cookies cookies_cookie_cookies cookie,"['cookies', 'cookies cookies', 'cookie', 'cookies cookie', 'bar cookies']","[""['cookies']"", ""['cookies']"", ""['cookies', 'cookies']""]"
35,780,35_coffee_tea_coffee cake_chai,"['coffee', 'tea', 'coffee cake', 'chai', 'tea coffee']","[""['coffee', 'cake']"", ""['coffee', 'cake']"", ""['coffee', 'cake']""]"
36,775,36_ribs_bbq_barbecue_smoky,"['ribs', 'bbq', 'barbecue', 'smoky', 'pork ribs']","[""['pork', 'ribs']"", ""['pork', 'ribs']"", ""['ribs', 'pork', 'ribs']""]"
37,775,37_onion_onions_onions onion_onion rings,"['onion', 'onions', 'onions onion', 'onion rings', 'rings']","[""['onion']"", ""['onion']"", ""['onion']""]"
38,723,38_gluten_vegan_calorie_vegan gluten,"['gluten', 'vegan', 'calorie', 'vegan gluten', 'cookies gluten']","[""['gluten', 'chocolate', 'chip', 'cookies']"", ""['gluten', 'chocolate', 'chip', 'cookies']"", ""['gluten']""]"
39,693,39_turkey_turkey burgers_burgers turkey_turkey turkey,"['turkey', 'turkey burgers', 'burgers turkey', 'turkey turkey', 'burgers']","[""['turkey']"", ""['turkey']"", ""['turkey']""]"
40,693,40_casserole casserole_casserole_chicken casserole_casserole chicken,"['casserole casserole', 'casserole', 'chicken casserole', 'casserole chicken', 'brunch']","[""['casserole']"", ""['casserole']"", ""['casserole']""]"
41,689,41_strawberry_jam_cranberry_blueberry,"['strawberry', 'jam', 'cranberry', 'blueberry', 'peach']","[""['strawberry', 'jam']"", ""['strawberry', 'jam']"", ""['strawberry', 'jam']""]"
42,677,42_biscuits_biscuits biscuits_buttermilk biscuits_drop biscuits,"['biscuits', 'biscuits biscuits', 'buttermilk biscuits', 'drop biscuits', 'drop']","[""['biscuits']"", ""['biscuits']"", ""['biscuits']""]"
43,653,43_pancakes_pancakes pancakes_potato pancakes_pancakes potato,"['pancakes', 'pancakes pancakes', 'potato pancakes', 'pancakes potato', 'pancakes wheat']","[""['pancakes']"", ""['pancakes']"", ""['pancakes']""]"
44,647,44_spinach_spinach dip_dip spinach_spinach feta,"['spinach', 'spinach dip', 'dip spinach', 'spinach feta', 'spinach spinach']","[""['spinach', 'dip']"", ""['spinach', 'dip']"", ""['spinach', 'dip']""]"
45,630,45_chip cookies_cookies chocolate_chocolate chip_chip,"['chip cookies', 'cookies chocolate', 'chocolate chip', 'chip', 'cookies']","[""['chocolate', 'chip', 'cookies']"", ""['chocolate', 'chip', 'cookies']"", ""['cookies', 'chocolate', 'chip', 'cookies']""]"
46,618,46_steak_steak steak_steaks_skirt,"['steak', 'steak steak', 'steaks', 'skirt', 'round steak']","[""['steak']"", ""['steak']"", ""['steak']""]"
